,Location,Borough,Date Installed,geometry,B7SCList,B7SCStartingPoints,CrossStreets,NodeList,SimilarNamesList,StartingXStreets,combined_san1_boro_vol_page,combined_san2_boro_vol_page,in_boro,in_boro2,in_func_code,in_stname1,in_stname2,out_ad,out_atomic_polygon,out_boro_name1,out_cd,out_cd_eligible,out_cdta_2020,out_census_block_2020,out_census_tract_2000,out_census_tract_2010,out_census_tract_2020,out_co,out_com_dist,out_compass,out_dcp_pref_lgc1,out_dcp_pref_lgc2,out_dot_st_light_contract_area,out_error_message,out_fire_bat,out_fire_co,out_fire_co_str,out_fire_div,out_grc,out_health_area,out_health_center_dist,out_latitude,out_lion_node_num,out_longitude,out_mc,out_nta_2020,out_police_patrol_boro,out_police_pct,out_police_sector,out_reason_code,out_san_dist_section,out_san_sub_section,out_sanborn1_boro,out_sanborn1_page,out_sanborn1_vol,out_sanborn2_boro,out_sanborn2_page,out_sanborn2_vol,out_school_dist,out_sd,out_stname1,out_stname2,out_wa1_message,out_x_coord,out_y_coord,out_zip_code,AuxiliarySegmentIDList,HighB7SCList,LowB7SCList,add_from_st_code_name,add_on_st_code_name,add_to_st_code_name,dcp_preferred_from_st_code_name,dcp_preferred_to_st_code_name,in_boro3,in_compass_dir,in_stname3,out_No_Parking_lanes,out_No_Traveling_lanes,out_Total_Lanes,out_bike_lane,out_bike_traffic_direction,out_boro_name2,out_boro_name3,out_curve_flag,out_curve_flag_direction,out_dot_street_light_contract_area,out_dsny_snow_priority,out_feature_type,out_from_latitude,out_from_longitude,out_from_node,out_from_x_coord,out_from_y_coord,out_generic_id,out_grc2,out_left_nta,out_left_police_sector,out_left_side_atomic_polygon,out_left_side_blockface_id,out_left_side_boro,out_left_side_cd_eligibility,out_left_side_cdta_2020,out_left_side_census_block_2000,out_left_side_census_block_2010,out_left_side_census_block_2020,out_left_side_census_block_suffix_2020,out_left_side_census_tract_2000,out_left_side_census_tract_2010,out_left_side_census_tract_2020,out_left_side_comdist,out_left_side_comdist_boro,out_left_side_dot_street_light_contract_area,out_left_side_fire_bat,out_left_side_fire_co,out_left_side_fire_div,out_left_side_health_area,out_left_side_health_center_dist,out_left_side_hhnd,out_left_side_iaei,out_left_side_lhnd,out_left_side_nta_2020,out_left_side_police_patrol_boro,out_left_side_police_pct,out_left_side_police_sector,out_left_side_puma_code,out_left_side_school_dist,out_left_side_zip_code,out_lionkey,out_loc_status,out_on_street_b7sc_name,out_pgb_flag,out_physical_id,out_right_nta,out_right_of_way_type,out_right_police_sector,out_right_side_atomic_polygon,out_right_side_blockface_id,out_right_side_boro,out_right_side_cd_eligibility,out_right_side_cdta_2020,out_right_side_census_block_2000,out_right_side_census_block_2010,out_right_side_census_block_2020,out_right_side_census_block_suffix_2020,out_right_side_census_tract_2000,out_right_side_census_tract_2010,out_right_side_census_tract_2020,out_right_side_comdist,out_right_side_comdist_boro,out_right_side_dot_street_light_contract_area,out_right_side_fire_bat,out_right_side_fire_co,out_right_side_fire_div,out_right_side_health_area,out_right_side_health_center_dist,out_right_side_hhnd,out_right_side_iaei,out_right_side_lhnd,out_right_side_nta_2020,out_right_side_police_patrol_boro,out_right_side_police_pct,out_right_side_police_sector,out_right_side_puma_code,out_right_side_school_dist,out_right_side_zip_code,out_roadway_type,out_seg_side_atomic_polygon,out_seg_side_blockface_id,out_seg_side_boro,out_seg_side_cd_eligibility,out_seg_side_cdta_2020,out_seg_side_census_block_2000,out_seg_side_census_block_2010,out_seg_side_census_block_2020,out_seg_side_census_tract_2000,out_seg_side_census_tract_2010,out_seg_side_census_tract_2020,out_seg_side_comdist,out_seg_side_comdist_boro,out_seg_side_fire_bat,out_seg_side_fire_co,out_seg_side_fire_div,out_seg_side_health_area,out_seg_side_health_center_dist,out_seg_side_hhnd,out_seg_side_lhnd,out_seg_side_nta,out_seg_side_nta_2020,out_seg_side_police_patrol_boro,out_seg_side_police_pct,out_seg_side_puma_code,out_seg_side_school_dist,out_seg_side_zip_code,out_segment_id,out_segment_len,out_segment_type,out_sos_ind,out_speed_limit,out_stname3,out_street_width_irregular,out_street_width_max,out_street_width_min,out_to_latitude,out_to_longitude,out_to_node,out_to_x_coord,out_to_y_coord,out_traffic_direction,out_truck_route_type
130,Church Avenue and McDonald Avenue (New York Industries for the Blind),Brooklyn,7/15/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Church Avenue and Ocean Avenue,Brooklyn,11/24/2020,POINT (40.650082 -73.961007),,,,,"[{'b7sc': '32623001', 'streetName': 'CHURCH AVENUE                   '}, {'b7sc': '36753001', 'streetName': 'OCEAN AVENUE                    '}]",,3/10 /005 ,3/10 /006 ,3,3,2W,CHURCH AVENUE                   ,OCEAN AVENUE                    ,42,202,BROOKLYN ,09,CD Eligible,BK14,2001, 508  , 508.01, 508.01,40,314, ,32623001/ CHURCH AVENUE                   ,36753001/ OCEAN AVENUE                    ,3,                                                                                ,41,Ladder 147,Ladder 147,15,00,53.20,35,40.650082,0018238,-73.961007 ,6,BK1401,BS,70, 70D, ,314/ 141,1B,3,005 ,10 ,3,006 ,10 ,17,21,CHURCH AVENUE                   ,OCEAN AVENUE                    ,                                                                                ,995070,176121,11226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Church Avenue with Buckingham Road and East 16th Street,Brooklyn,1/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Church Avenue with East 32nd Street and Raleigh Place,Brooklyn,4/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Church Avenue with Fairview Place and East 31st Street,Brooklyn,12/7/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Clarkson Avenue and Kings County Hospital Entrance (200' West of East 37th Street),Brooklyn,2/4/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Columbia Street and Mill Street,Brooklyn,11/10/2020,POINT (40.676545 -74.006789),,,,,"[{'b7sc': '32843001', 'streetName': 'COLUMBIA STREET                 '}, {'b7sc': '36101001', 'streetName': 'MILL STREET                     '}]",,3/01 /028 ,3/01 /025 ,3,3,2W,COLUMBIA STREET                 ,MILL STREET                     ,51,108,BROOKLYN ,10,CD Eligible,BK06,2002,  85  ,  85  ,  85  ,38,306, ,32843001/ COLUMBIA STREET                 ,36101001/ MILL STREET                     ,3,                                                                                ,32,Ladder 131,Ladder 131,11,00,41.00,38,40.676545,0014409,-74.006789 ,1,BK0601,BS,76, 76D, ,306/ 061,1I,3,028 ,01 ,3,025 ,01 ,15,26,COLUMBIA STREET                 ,MILL STREET                     ,                                                                                ,982367,185760,11231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Coney Island Avenue and Avenue N,Brooklyn,12/5/2019,POINT (40.615205 -73.963362),,,,,"[{'b7sc': '31428001', 'streetName': 'AVENUE N                        '}, {'b7sc': '32883001', 'streetName': 'CONEY ISLAND AVENUE             '}]",,3/13 /043 ,3/13 /044 ,3,3,2W,CONEY ISLAND AVENUE             ,AVENUE N                        ,45,101,BROOKLYN ,09,Not CD Eligible,BK12,1000, 442  , 442  , 442  ,48,312, ,32883001/ CONEY ISLAND AVENUE             ,31428001/ AVENUE N                        ,3,                                                                                ,33,Ladder 153,Ladder 153,15,00,85.10,37,40.615205,0017474,-73.963362 ,8,BK1204,BS,66, 66A, ,314/ 144,4C,3,043 ,13 ,3,044 ,13 ,21,22,CONEY ISLAND AVENUE             ,AVENUE N                        ,                                                                                ,994422,163414,11230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Coney Island Avenue and Avenue Y,Brooklyn,5/4/2022,POINT (40.589452 -73.960517),,,,,"[{'b7sc': '31483001', 'streetName': 'AVENUE Y                        '}, {'b7sc': '32883001', 'streetName': 'CONEY ISLAND AVENUE             '}]",,3/14 /030 ,3/14 /049 ,3,3,2W,CONEY ISLAND AVENUE             ,AVENUE Y                        ,45,103,BROOKLYN ,08,Not CD Eligible,BK13,1004, 370  , 370  , 370  ,48,315, ,32883001/ CONEY ISLAND AVENUE             ,31483001/ AVENUE Y                        ,3,                                                                                ,43,Engine 245,Engine 245,8,00,86.20,37,40.589452,0016798,-73.960517 ,8,BK1301,BS,61, 61B, ,313/ 131,1E,3,030 ,14 ,3,049 ,14 ,21,22,CONEY ISLAND AVENUE             ,AVENUE Y                        ,                                                                                ,995216,154032,11235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Coney Island Avenue and Foster Avenue,Brooklyn,2/10/2022,POINT (40.632295 -73.966775),,,,,"[{'b7sc': '32883001', 'streetName': 'CONEY ISLAND AVENUE             '}, {'b7sc': '34173001', 'streetName': 'FOSTER AVENUE                   '}]",,3/13 /035 ,3/10A/056 ,3,3,2W,CONEY ISLAND AVENUE             ,FOSTER AVENUE                   ,44,101,BROOKLYN ,09,CD Eligible,BK14,2000, 460.01, 460  , 460  ,40,314, ,32883001/ CONEY ISLAND AVENUE             ,34173001/ FOSTER AVENUE                   ,3,                                                                                ,41,Engine 250,Engine 250,15,00,72.20,35,40.632295,0017447,-73.966775 ,6,BK1402,BS,70, 70B, ,314/ 144,4E,3,035 ,13 ,3,056 ,10A,22,21,CONEY ISLAND AVENUE             ,FOSTER AVENUE                   ,                                                                                ,993472,169640,11230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Coney Island Avenue and Kings Highway,Brooklyn,5/8/2020,POINT (40.607337 -73.961886),,,,,"[{'b7sc': '32883001', 'streetName': 'CONEY ISLAND AVENUE             '}, {'b7sc': '35405001', 'streetName': 'KINGS HIGHWAY                   '}]",,3/14 /021 ,3/14 /035 ,3,3,2W,CONEY ISLAND AVENUE             ,KINGS HIGHWAY                   ,45,108,BROOKLYN ,09,CD Eligible,BK15,1000, 418  , 418  , 418  ,48,315, ,32883001/ CONEY ISLAND AVENUE             ,35405001/ KINGS HIGHWAY                   ,3,                                                                                ,33,Ladder 153,Ladder 153,15,00,85.10,37,40.607337,0017460,-73.961886 ,8,BK1501,BS,61, 61A, ,315/ 151,1C,3,021 ,14 ,3,035 ,14 ,21,22,CONEY ISLAND AVENUE             ,KINGS HIGHWAY                   ,                                                                                ,994833,160548,11223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Coney Island Avenue and Neptune Avenue,Brooklyn,1/26/2022,POINT (40.581958 -73.959942),,,,,"[{'b7sc': '32883001', 'streetName': 'CONEY ISLAND AVENUE             '}, {'b7sc': '36423001', 'streetName': 'NEPTUNE AVENUE                  '}]",,3/18 /029 ,3/18 /019 ,3,3,2W,CONEY ISLAND AVENUE             ,NEPTUNE AVENUE                  ,45,106,BROOKLYN ,08,CD Eligible,BK13,1000, 364  , 364  , 364  ,48,313, ,32883001/ CONEY ISLAND AVENUE             ,36423001/ NEPTUNE AVENUE                  ,3,                                                                                ,43,Ladder 169,Ladder 169,8,00,91.10,37,40.581958,0016756,-73.959942 ,8,BK1303,BS,60, 60A, ,313/ 132,2A,3,029 ,18 ,3,019 ,18 ,21,23,CONEY ISLAND AVENUE             ,NEPTUNE AVENUE                  ,                                                                                ,995377,151302,11235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Coney Island Avenue at Avenue O,Brooklyn,7/18/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Coney Island Avenue between Avenue H and Glenwood Road (mid-block),Brooklyn,3/28/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Cortelyou Road at Stratford Road,Brooklyn,6/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Court Street and Atlantic Avenue,Brooklyn,8/26/2013,POINT (40.68969 -73.992363),,,,,"[{'b7sc': '31343001', 'streetName': 'ATLANTIC AVENUE                 '}, {'b7sc': '32983001', 'streetName': 'COURT STREET                    '}]",,3/01 /055 ,3/02 /017 ,3,3,2W,COURT STREET                    ,ATLANTIC AVENUE                 ,52,204,BROOKLYN ,10,Not CD Eligible,BK02,2002,   9  ,   9  ,   9  ,33,302, ,32983001/ COURT STREET                    ,31343001/ ATLANTIC AVENUE                 ,3,                                                                                ,32,Engine 224,Engine 224,11,00,23.00,38,40.689690,0015717,-73.992363 ,1,BK0201,BN,84, 84A, ,302/ 022,2A,3,055 ,01 ,3,017 ,02 ,15,26,COURT STREET                    ,ATLANTIC AVENUE                 ,                                                                                ,986368,190549,11201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Court Street and Livingston Street,Brooklyn,6/16/2012,POINT (40.691597 -73.991447),,,,,"[{'b7sc': '32983001', 'streetName': 'COURT STREET                    '}, {'b7sc': '35653001', 'streetName': 'LIVINGSTON STREET               '}]",,3/02 /017 ,3/01 /055 ,3,3,2W,COURT STREET                    ,LIVINGSTON STREET               ,52,104,BROOKLYN ,10,Not CD Eligible,BK02,1003,   9  ,   9  ,   9  ,33,302, ,32983001/ COURT STREET                    ,35653001/ LIVINGSTON STREET               ,3,                                                                                ,32,Engine 224,Engine 224,11,00,23.00,38,40.691597,0015726,-73.991447 ,1,BK0201,BN,84, 84A, ,302/ 022,2A,3,017 ,02 ,3,055 ,01 ,15,26,COURT STREET                    ,LIVINGSTON STREET               ,                                                                                ,986622,191244,11201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Court Street and Schermerhorn Street,Brooklyn,8/27/2012,POINT (40.690994 -73.991742),,,,,"[{'b7sc': '32983001', 'streetName': 'COURT STREET                    '}, {'b7sc': '37553001', 'streetName': 'SCHERMERHORN STREET             '}]",,3/02 /017 ,,3,3,2W,COURT STREET                    ,SCHERMERHORN STREET             ,52,107,BROOKLYN ,10,Not CD Eligible,BK02,1009,   9  ,   9  ,   9  ,33,302, ,32983001/ COURT STREET                    ,37553001/ SCHERMERHORN STREET             ,3,                                                                                ,32,Engine 224,Engine 224,11,00,23.00,38,40.690994,0015725,-73.991742 ,1,BK0201,BN,84, 84A, ,302/ 022,2A,3,017 ,02 , ,    ,   ,15,26,COURT STREET                    ,SCHERMERHORN STREET             ,                                                                                ,986540,191024,11201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Court Street and State Street,Brooklyn,3/30/2014,POINT (40.690346 -73.992053),,,,,"[{'b7sc': '32983001', 'streetName': 'COURT STREET                    '}, {'b7sc': '38133001', 'streetName': 'STATE STREET                    '}]",,3/02 /017 ,,3,3,2W,COURT STREET                    ,STATE STREET                    ,52,201,BROOKLYN ,10,Not CD Eligible,BK02,2001,   9  ,   9  ,   9  ,33,302, ,32983001/ COURT STREET                    ,38133001/ STATE STREET                    ,3,                                                                                ,32,Engine 224,Engine 224,11,00,23.00,38,40.690346,0015718,-73.992053 ,1,BK0201,BN,84, 84A, ,302/ 022,2A,3,017 ,02 , ,    ,   ,15,26,COURT STREET                    ,STATE STREET                    ,                                                                                ,986454,190788,11201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Court Street with Remsen and Joralemon Street,Brooklyn,5/25/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Cropsey Avenue and Bay 32nd Street,Brooklyn,1/4/2016,POINT (40.596183 -73.997386),,,,,"[{'b7sc': '31683001', 'streetName': 'BAY   32 STREET                 '}, {'b7sc': '33063001', 'streetName': 'CROPSEY AVENUE                  '}]",,3/12 /032 ,3/12 /016 ,3,3,2W,CROPSEY AVENUE                  ,BAY 32ND STREET                 ,47,101,BROOKLYN ,11,Not CD Eligible,BK11,1002, 294  , 294  , 294  ,47,311, ,33063001/ CROPSEY AVENUE                  ,31683001/ BAY   32 STREET                 ,3,                                                                                ,43,Ladder 161,Ladder 161,8,00,86.20,37,40.596183,0012780,-73.997386 ,5,BK1103,BS,62, 62D, ,311/ 115,5D,3,032 ,12 ,3,016 ,12 ,21,17,CROPSEY AVENUE                  ,BAY   32 STREET                 ,                                                                                ,984976,156482,11214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Cropsey Avenue and Bay 35th / 24th Avenue,Brooklyn,10/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Cropsey Avenue and Bay 49th Street,Brooklyn,10/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Dahill Road and 12th Avenue,Brooklyn,5/21/2021,POINT (40.645753 -73.981056),,,,,"[{'b7sc': '30628001', 'streetName': '  12 AVENUE                     '}, {'b7sc': '33133001', 'streetName': 'DAHILL ROAD                     '}]",,3/06A/053 ,3/10A/047 ,3,3,2W,DAHILL ROAD                     ,12TH AVENUE                     ,44,103,BROOKLYN ,09,Not CD Eligible,BK12,1002, 498  , 498  , 498  ,39,312, ,33133001/ DAHILL ROAD                     ,30628001/   12 AVENUE                     ,3,                                                                                ,48,Engine 240,Engine 240,11,00,53.10,35,40.645753,0014277,-73.981056 ,5,BK1203,BS,66, 66D, ,312/ 125,5C,3,053 ,06A,3,047 ,10A,15,17,DAHILL ROAD                     ,  12 AVENUE                     ,                                                                                ,989507,174542,11218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Dekalb Avenue and Ashland Place,Brooklyn,5/3/2022,POINT (40.689839 -73.978624),,,,,"[{'b7sc': '31323001', 'streetName': 'ASHLAND PLACE                   '}, {'b7sc': '33153001', 'streetName': 'DEKALB AVENUE                   '}]",,3/02 /026 ,3/02 /031 ,3,3,2W,DEKALB AVENUE                   ,ASHLAND PLACE                   ,57,104,BROOKLYN ,07,Not CD Eligible,BK02,3000,  31  ,  31  ,  31.01,35,302, ,33153001/ DEKALB AVENUE                   ,31323001/ ASHLAND PLACE                   ,3,                                                                                ,31,Engine 210,Engine 210,11,00,11.00,36,40.689839,0019093,-73.978624 ,1,BK0203,BN,88, 88D, ,302/ 024,4C,3,026 ,02 ,3,031 ,02 ,13,26,DEKALB AVENUE                   ,ASHLAND PLACE                   ,                                                                                ,990178,190604,11201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,DeKalb Avenue and Hudson Avenue,Brooklyn,5/11/2015,POINT (40.6899 -73.980431),,,,,"[{'b7sc': '33153001', 'streetName': 'DEKALB AVENUE                   '}, {'b7sc': '35133001', 'streetName': 'HUDSON AVENUE                   '}]",,3/02 /026 ,3/02 /031 ,3,3,2W,DEKALB AVENUE                   ,HUDSON AVENUE                   ,57,202,BROOKLYN ,07,Not CD Eligible,BK02,2000,  31  ,  31  ,  31.01,35,302, ,33153001/ DEKALB AVENUE                   ,35133001/ HUDSON AVENUE                   ,3,                                                                                ,31,Engine 210,Engine 210,11,00,11.00,36,40.689900,0016049,-73.980431 ,1,BK0203,BN,88, 88D, ,302/ 021,1B,3,026 ,02 ,3,031 ,02 ,13,26,DEKALB AVENUE                   ,HUDSON AVENUE                   ,                                                                                ,989677,190626,11201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Dekalb Avenue and S Portland Avenue,Brooklyn,11/21/2016,POINT (40.689698 -73.975105),,,,,"[{'b7sc': '33153001', 'streetName': 'DEKALB AVENUE                   '}, {'b7sc': '37943001', 'streetName': 'SOUTH PORTLAND AVENUE           '}]",,3/02 /059 ,3/02 /043 ,3,3,2W,DEKALB AVENUE                   ,S PORTLAND AVENUE               ,57,103,BROOKLYN ,07,Not CD Eligible,BK02,1000,  31  ,  31  ,  31.02,35,302, ,33153001/ DEKALB AVENUE                   ,37943001/ SOUTH PORTLAND AVENUE           ,3,                                                                                ,31,Engine 210,Engine 210,11,00,11.00,36,40.689698,0019197,-73.975105 ,1,BK0203,BN,88, 88D, ,302/ 024,4C,3,059 ,02 ,3,043 ,02 ,13,26,DEKALB AVENUE                   ,SOUTH PORTLAND AVENUE           ,                                                                                ,991154,190553,11217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
