LineNumber,Location,Borough,Errors
587,St Nicholas Avenue and Pedestrian Crossing between West 130th and West 133rd Streets,Manhattan,'ST NICHOLAS AVENUE & PEDESTRIAN' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.  
589,St Nicholas Avenue and West 156th Street,Manhattan,WEST  156 STREET & ST NICHOLAS AVENUE DO NOT INTERSECT                          
602,Water Street and Fulton Street,Manhattan,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
603,West 100th Street and Manhatan Avenue,Manhattan,'MANHATAN AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.                  
604,West 106th Street between Amsterdam Avenue and Columbus Avenue (mid-block),Manhattan,'COLUMBUS AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 009 SIMILAR NAMES.      
605,West 112th Street between Lenox Avenue and 5th Avenue (mid-block),Manhattan,'5TH AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.           
606,West 125th Street and 12th Avenue,Manhattan,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
607,West 125th Street at 400’ east of Frederick Douglass Boulevard,Manhattan,'400? EAST OF FREDERICK DOUGLASS' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES    
608,West 125th Street at 400’ west of Lenox Avenue,Manhattan,'400? WEST OF LENOX AVENUE' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES          
609,West 125th Street at 450’ west of 5th Avenue,Manhattan,'450? WEST OF 5TH AVENUE' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES            
610,West 125th Street with St Clair Place and West 129th Street,Manhattan,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
611,West 155th Street with Edgecomb Avenue and HRD / St Nicholas Place,Manhattan,'HRD / ST NICHOLAS PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.          
612,West 157th Street with Edward Morgan Place and Broadway,Manhattan,                                                                                
613,West 23rd Street between 5th Avenue and 6th Avenue (Mid-block),Manhattan,'6TH AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES.           
614,West 34th Street between 7th and 8th Avenues,Manhattan,'7TH' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.                              
615,West 34th Street between 8th Avenue and 9th Avenue (mid-block),Manhattan,'9TH AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES.           
616,"West 34th Street between Broadway, 6th and 7th Avenues",Manhattan,"'BROADWAY, 6TH' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.                    "
617,West 3rd Street at Wooster Street (1 Washington Square Village),Manhattan,STREET NAME CANNOT BE NORMALIZED                                                
621,West 53rd Street between 5th and 6th Avenues,Manhattan,'5TH' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.                              
622,West 57th Street between 6th Avenue and 5th Avenue (300' East of 6th Avenue) (mid-block),Manhattan,'5TH AVENUE (300' EAST OF 6TH AVE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
623,West 57th Street between 6th Avenue and 7th Avenue (Mid-block),Manhattan,'7TH AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.           
624,West 57th Street between 8th Avenue and 9th Avenue (Mid-block),Manhattan,'9TH AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES.           
625,West End Avenue and Pedestrian Crossing (120’ north of West 67th Street),Manhattan,'PEDESTRIAN CROSSING (120? NORTH' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.  
626,West End Avenue and Pedestrian Crossing (West 69th Street),Manhattan,'PEDESTRIAN CROSSING (WEST 69TH S' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
634,West Street and Horatio Street (mid-block),Manhattan,'HORATIO STREET (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.       
637,York Avenue with FDR Drive Entrance/Exit Ramps and East 63rd Street,Manhattan,'FDR DRIVE ENTRANCE/EXIT RAMPS' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.    
639,101st Avenue and 110th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
648,109th Avenue with 130th Street and 129th Street,Queens,                                                                                
649,110th Avenue and Sutphin Boulevard,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
650,111th Avenue with 126th Street and Hawtree Creek Road,Queens,                                                                                
654,147th Avenue and 184th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
656,188th Street and 186th Lane,Queens,STREETS INTERSECT MORE THAN TWICE - USE NODE AS INPUT                           
657,20th Avenue and Whitestone Expressway (NorthBound Service Road),Queens,'WHITESTONE EXPRESSWAY (NORTHBOUN' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
658,20th Avenue and Whitestone Expressway (Southbound Service Road),Queens,'WHITESTONE EXPRESSWAY (SOUTHBOUN' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
659,212th Street between 18th Avenue and 23rd Avenue) (mid-block),Queens,'23RD AVENUE) (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 007 SIMILAR NAMES.         
661,21st Street and 21st Road,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
670,21st Street with Astoria Boulevard and 27th Avenue,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
674,27th Avenue and 8th Street (Goodwill Industries),Queens,STREET NAME CANNOT BE NORMALIZED                                                
682,32nd Avenue with 93rd Street and Jackson Mill Road,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
683,35th Avenue with 70th Street and Leverich Street,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
692,39th Avenue and 52nd Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
699,48th Avenue and 211th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
701,64th Avenue (East Leg) and 188th Street,Queens,'64TH AVENUE (EAST LEG)' NOT RECOGNIZED. THERE ARE 007 SIMILAR NAMES.           
702,64th Avenue (North Leg) and 188th Street,Queens,'64TH AVENUE (NORTH LEG)' NOT RECOGNIZED. THERE ARE 007 SIMILAR NAMES.          
703,64th Avenue (South Leg) and 188th Street,Queens,'64TH AVENUE (SOUTH LEG)' NOT RECOGNIZED. THERE ARE 007 SIMILAR NAMES.          
704,64th Avenue (West Leg) and 188th Street,Queens,'64TH AVENUE (WEST LEG)' NOT RECOGNIZED. THERE ARE 007 SIMILAR NAMES.           
710,92nd Street between 57th Avenue and 59th Avenue (mid-block),Queens,'59TH AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.          
712,Astoria Boulevard (South) and 43rd Street,Queens,'ASTORIA BOULEVARD (SOUTH)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.        
713,Astoria Boulevard and 38th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
721,Austin Street and 70th Street,Queens,  70 STREET & AUSTIN STREET DO NOT INTERSECT                                    
722,Austin Street with 71st Avenue and Continental Avenue,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
723,Beach 102nd Street and Rockaway Beach Blvd West Leg,Queens,'ROCKAWAY BEACH BLVD WEST LEG' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.     
725,Booth Memorial Avenue and 160th Road,Queens, 160 ROAD & BOOTH MEMORIAL AVENUE DO NOT INTERSECT                              
729,Broadway and St James Avenue,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
730,Broadway between 49th Street and 51st Street (mid-block),Queens,'51ST STREET (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES.          
736,Corona Avenue and 94th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
737,Corona Avenue with 108th Street and 53rd Avenue,Queens,                                                                                
738,Corona Avenue with 50th Avenue and 106th Street,Queens,                                                                                
739,Corona Avenue with Otis Avenue and 54th Avenue,Queens,                                                                                
740,Crescent Street and 30th Road,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
746,Empire Avenue with Reads Lane and Balsam Court,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
748,Francis Lewis Boulevard and 35th Avenue,Queens,STREETS INTERSECT MORE THAN TWICE - USE NODE AS INPUT                           
750,Fresh Pond Road and 60th Road,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
752,Grand Avenue and 74th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
753,Grand Avenue with Haspel Street and Van Kleeck Street,Queens,                                                                                
756,Grand Central Parkway E/B SR with McLaughlin Avenue and 188th Street,Queens,'GRAND CENTRAL PARKWAY E/B SR' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.     
757,Greenpoint Avenue with 48th Avenue and 41st Street,Queens,                                                                                
759,Guy R Brewer Boulevard and JHS 72 (mid-block),Queens,'JHS 72 (MID-BLOCK)' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES                 
766,Hillside Avenue and 164th Street East Leg,Queens,'164TH STREET EAST LEG' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES.            
768,Hillside Avenue and 178th Street/Edgerton Boulevard,Queens,'178TH STREET/EDGERTON BOULEVARD' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.  
775,Hillside Avenue and Cross Island YMCA (170' West of 239th Street) (mid-block),Queens,'CROSS ISLAND YMCA (170' WEST OF' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.  
777,Hillside Avenue with 187th Street and Chelsea Street,Queens,                                                                                
778,Hillside Avenue with Babbage Street and 118th Street,Queens,                                                                                
779,Hillside Avenue with Merrick Boulevard and 166th Street,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
782,Hollis Court Boulevard with 189th Street and 46th Road,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
783,Horace Harding Expressway Eastbound and Cloverdale Boulevard,Queens,'HORACE HARDING EXPRESSWAY EASTBO' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
784,Horace Harding Expressway Service Road North and 92nd Street,Queens,'HORACE HARDING EXPRESSWAY SERVIC' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
785,Horace Harding Expressway Westbound and Fresh Meadow Lane,Queens,'HORACE HARDING EXPRESSWAY WESTBO' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
786,Horace Harding Expressway Westbound Service Road and Cloverdale Boulevard,Queens,'HORACE HARDING EXPRESSWAY WESTBO' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
787,Horace Harding Expressway Westbound Service Road at Corona Avenue,Queens,'HORACE HARDING EXPRESSWAY WESTBO' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
788,Horace Harding Parkway Service Road Eastbound at Grand Central Parkway Service Road West,Queens,'HORACE HARDING PARKWAY SERVICE R' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
794,Jamaica Avenue and 190th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
801,Jamaica Avenue with 143rd Street and 144th Street,Queens,                                                                                
802,Jamaica Avenue with Woodhull Avenue and 188th Street,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
808,Liberty Avenue and 127th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
809,Liberty Avenue and 80th Street S/B,Queens,'80TH STREET S/B' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES.                  
814,Linden Boulevard with Lincoln Street and 134th Street,Queens,                                                                                
817,Long Island Expressway North Service Road at 99th Street,Queens,'LONG ISLAND EXPRESSWAY NORTH SER' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
821,Main Street and Pedestrian Crossing between 63rd Avenue & Gravett Road (mid-block),Queens,'MAIN STREET & PEDESTRIAN CROSSIN' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. 
825,Merrick Boulevard and 108th Avenue,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
826,Merrick Boulevard and 109th Avenue,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
833,Northern Boulevard and 110th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
837,Northern Boulevard and 220th Place,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
844,Northern Boulevard and Alley Pond Environmental Center (750’ East of Cross Island NB),Queens,'ALLEY POND ENVIRONMENTAL CENTER' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.  
849,Northern Boulevard at 211th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
852,Northern Boulevard with Roosevelt Avenue and 156th Street,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
855,Queens Boulevard (eastbound) and Woodhaven Boulevard,Queens,'QUEENS BOULEVARD (EASTBOUND)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.     
856,Queens Boulevard (westbound) and Woodhaven Boulevard,Queens,'QUEENS BOULEVARD (WESTBOUND)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.     
857,Queens Boulevard and 32nd Place,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
868,Queens Boulevard and 66th Street (BQE East Bound Entrance),Queens,'66TH STREET (BQE EAST BOUND ENTR' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES. 
869,Queens Boulevard and Queens Borough Hall,Queens,NON-ADDRESSABLE PLACE NAME PROCESSING IS NOT AVAILABLE FOR THIS FUNCTION        
872,Queens Boulevard between 72nd and 73rd Streets,Queens,'72ND' NOT RECOGNIZED. THERE ARE 009 SIMILAR NAMES.                             
873,Queens Boulevard EB SR and Union Turnpike SB SR,Queens,'QUEENS BOULEVARD EB SR' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.           
874,Queens Boulevard with 57th Avenue and Hoffman Drive,Queens,                                                                                
875,Queens Boulevard with 64th Avenue and 64th Road,Queens,THESE STREETS INVOLVE A 'DOGLEG' - SHORTEST STRETCH PROVIDED                    
876,Queens Boulevard with 68th Street and BQE Eastbound Entrance,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
877,Queens Boulevard with 71st Avenue and 108th Street,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
878,Queens Plaza North and 28th Street,Queens,STREETS INTERSECT MORE THAN TWICE - USE NODE AS INPUT                           
882,Rockaway Boulevard and 123rd Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
883,Rockaway Boulevard and 135th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
885,Rockaway Boulevard and 142nd Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
889,Rockaway Boulevard with 101st Avenue and 88th Street,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
890,Rockaway Boulevard with 131st Street and Lincoln Street,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
891,Rockaway Boulevard with 132nd Street and 120th Avenue,Queens,                                                                                
892,Rockaway Boulevard with 84th Street and Digby Place,Queens,                                                                                
893,Rockaway Boulevard with 85th Street and 97th Avenue,Queens,THESE STREETS INVOLVE A 'DOGLEG' - SHORTEST STRETCH PROVIDED                    
894,Rockaway Boulevard with Foch Boulevard and 126th Street,Queens,                                                                                
896,Roosevelt Avenue and 57th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
898,Roosevelt Avenue and 78th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
901,"Roosevelt Avenue with Elmhurst Avenue, Case Street and 90th Street",Queens,"'ELMHURST AVENUE, CASE STREET' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.     "
902,Roosevelt Avenue with Woodside Avenue and 59th Avenue,Queens,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
903,Sayres Avenue with 111th Avenue and 177th Street,Queens,                                                                                
906,Skillman Avenue and 54th Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
908,Steinway Street and  440' north of 31st Avenue (midblock crossing),Queens,' 440' NORTH OF 31ST AVENUE (MIDB' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES   
909,Steinway Street between 34th Avenue and Broadway (midblock),Queens,'BROADWAY (MIDBLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.              
910,Steinway Street between Broadway and 31st Avenue (midblock),Queens,'31ST AVENUE (MIDBLOCK)' NOT RECOGNIZED. THERE ARE 007 SIMILAR NAMES.           
912,Thomson Avenue and 31st Place (mid-block),Queens,'31ST PLACE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 007 SIMILAR NAMES.           
921,Woodhaven Boulevard (NB) and Long Island Epressway entrance ramp,Queens,'WOODHAVEN BOULEVARD (NB)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.         
924,Woodhaven Boulevard and 86th Drive (East Leg),Queens,'86TH DRIVE (EAST LEG)' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES.            
925,Woodhaven Boulevard and 86th Drive (West Leg),Queens,'86TH DRIVE (WEST LEG)' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES.            
929,Woodhaven Boulevard East Service Road and 180’ South of Jamaica Avenue,Queens,'WOODHAVEN BOULEVARD EAST SERVICE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
930,Woodhaven Boulevard West Service Road and 147’ South of Jamaica Avenue,Queens,'WOODHAVEN BOULEVARD WEST SERVICE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
931,Woodhaven Boulevard with Penelope Avenue and 63rd Drive,Queens,                                                                                
933,Yellowstone Boulevard and Austin Street,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
935,Yellowstone Boulevard and Queens Boulevard,Queens,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
937,Amboy Road with Ridgecrest Avenue and Putnam Street,Staten Island,                                                                                
941,Bay Street with Front Street and Edgewater Street,Staten Island,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
942,Brielle Avenue and Bradley Avenue,Staten Island,STREETS INTERSECT MORE THAN TWICE - USE NODE AS INPUT                           
943,Brielle Avenue and Gansevoort Boulevard (Wagner High School),Staten Island,'GANSEVOORT BOULEVARD (WAGNER HIG' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. 
946,Castleton Avenue and Brighton Avenue (S.I. Center for Independent Living),Staten Island,'BRIGHTON AVENUE (S.I. CENTER FOR' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
951,Forest Avenue and Davis Avenue,Staten Island,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
958,Hylan Boulevard and Huegenot Avenue,Staten Island,'HUEGENOT AVENUE' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES                    
960,Hylan Boulevard and West Fingerboard Road,Staten Island,STREETS INTERSECT MORE THAN TWICE - USE NODE AS INPUT                           
963,Hylan Boulevard at Tysens Lane,Staten Island,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
964,Hylan Boulevard with Ebbitts Street and Allison Avenue,Staten Island,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
965,Hylan Boulevard with Wendy Drive and St. Joseph’s High School,Staten Island,'ST. JOSEPH?S HIGH SCHOOL' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.         
967,New Dorp Lane (mid-block) between Hylan Boulevard and Mill Road,Staten Island,'NEW DORP LANE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.        
972,Richmond Road with Todt Hill Road and Greeley Avenue,Staten Island,                                                                                
979,Targee Street and Naples Street (235’ North of Venice Street),Staten Island,'NAPLES STREET (235? NORTH OF VEN' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES. 
987,Woodrow Road with Billings Street and Tynan Street,Staten Island,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
988,3rd Avenue and East 138th Street,the Bronx,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
991,3rd Avenue between East 169th Street and East 170th Street (mid-block),the Bronx,'EAST 170TH STREET (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.    
993,Alexander Avenue between East 135th Street and East 137th Street (mid-block),the Bronx,'EAST 137TH STREET (MID-BLOCK)' NOT RECOGNIZED. IS IT 'EAST  137 STREET'?       
996,Bailey Avenue and West 234th Street and Bailey Place,the Bronx,'BAILEY AVENUE & WEST 234TH STREE' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. 
998,Bartow Avenue and Co-Op City Boulevard and Bay Plaza Boulevard,the Bronx,'BARTOW AVENUE & CO-OP CITY BOULE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
999,Baychester Avenue and 200’ South of Donizetti Place (mid-block),the Bronx,'200? SOUTH OF DONIZETTI PLACE (M' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES. 
1001,Baychester Avenue with Tillotson Avenue and Rombouts Avenue,the Bronx,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
1003,Boston Road and Boller Avenue (South Leg),the Bronx,'BOLLER AVENUE (SOUTH LEG)' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.        
1004,Boston Road and East 212th Street/Pearsall Avenue,the Bronx,'EAST 212TH STREET/PEARSALL AVENU' NOT RECOGNIZED. IS IT 'EAST  212 STREET'?    
1008,Boston Road with Dyre Avenue and Steenwick Avenue,the Bronx,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
1010,Broadway and Van Cortlandt Park  (580' South of 251st Street),the Bronx,'VAN CORTLANDT PARK  (580' SOUTH' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.  
1012,Broadway with West 240th Street and Van Cortlandt Park South,the Bronx,                                                                                
1013,Bronx and Pelham Parkway South Eastbound at Seymour Avenue,the Bronx,'BRONX & PELHAM PARKWAY SOUTH EAS' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
1020,Bruckner Boulevard North Westbound and Boynton Avenue,the Bronx,'BRUCKNER BOULEVARD NORTH WESTBOU' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
1023,Co-Op City Boulevard and 550’ North of Bellamy Loop North (mid-block),the Bronx,'550? NORTH OF BELLAMY LOOP NORTH' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES   
1024,Co-Op City Boulevard and Carver Loop East,the Bronx,'CARVER LOOP EAST' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.                 
1025,Co-Op City Boulevard and Rombouts Avenue and Carver Loop West,the Bronx,'CO-OP CITY BOULEVARD & ROMBOUTS' NOT RECOGNIZED. THERE ARE 007 SIMILAR NAMES.  
1027,Cross Bronx Expressway Southbound Service Road and Entrance to Bronx River Parkway Northbound,the Bronx,'CROSS BRONX EXPRESSWAY SOUTHBOUN' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
1028,Crotona Avenue between East 181st and East 182nd Streets,the Bronx,'EAST 182ND STREETS' NOT RECOGNIZED. IS IT 'EAST  182 STREET'?                  
1030,East 161st Street and Grant Avenue (mid-block),the Bronx,'GRANT AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.         
1031,East 161st Street and Pedestrian Crossing (400’ West of River Avenue) (mid-block),the Bronx,'PEDESTRIAN CROSSING (400? WEST O' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES. 
1034,East 163rd Street between Trinity Avenue and Tinton Avenue (mid-block),the Bronx,'TINTON AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.        
1036,East 170th Street and 150’ West of Grand Concourse,the Bronx,'150? WEST OF GRAND CONCOURSE' NOT RECOGNIZED. IS IT 'EAST  150 STREET'?        
1044,East Fordham Road and Bathgate Avenue,the Bronx,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
1046,East Gun Hill Road and Fish Avenue,the Bronx,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
1047,East Gun Hill Road and Gunther Avenue,the Bronx,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
1050,East Gun Hill Road with Holland Avenue and Tilden Street,the Bronx,STREET COMBINATION NOT UNIQUE                                                   
1051,East Gun Hill Road with Perry Ave and Reservoir Place,the Bronx,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
1052,East Gun Hill Road with Seymour Avenue and Sexton Place,the Bronx,                                                                                
1057,East Tremont Avenue and Lehman High School (mid-block),the Bronx,'LEHMAN HIGH SCHOOL (MID-BLOCK)' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES     
1059,East Tremont Avenue with Hutchinson River Parkway and Ericson Place,the Bronx,                                                                                
1063,Edward L Grant Highway and West 170th Avenue,the Bronx,'WEST 170TH AVENUE' NOT RECOGNIZED. IS IT 'WEST  170 STREET'?                   
1064,Edward L Grant Hwy and West 169 Street,the Bronx,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
1065,Ft. Independence Street and Heath Avenue,the Bronx,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
1066,Goulden Avenue and Lehman College High School,the Bronx,'LEHMAN COLLEGE HIGH SCHOOL' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES         
1075,Jerome Avenue and Shakespeare Avenue,the Bronx,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
1078,Jerome Avenue between East 208th Street and East Gun Hill Road (mid-block),the Bronx,'EAST GUN HILL ROAD (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES.   
1079,Jerome Avenue with Mosholu East and West Parkway,the Bronx,'MOSHOLU EAST' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.                     
1086,Manhattan College Parkway and Waldo Avenue,the Bronx,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
